A,determinant,B,type_relation
mépris,d'un,riche,r_has_property-1
merveille,d'une,île,r_has_property-1
minceur,d'un,trait,r_has_property-1
misère,d'un,mendiant,r_has_property-1
modestie,d'un,savant,r_has_property-1
mollesse,d'un,corps,r_has_property-1
monotonie,d'un,trajet,r_has_property-1
naïveté,d'un,enfant,r_has_property-1
nervosité,du,pilote,r_has_property-1
netteté,d'une,image,r_has_property-1
noirceur,de,nuit,r_has_property-1
nuance,d'un,ton,r_has_property-1
obéissance,d'un,élève,r_has_property-1
obscurité,de,cave,r_has_property-1
obstination,d'un,âne,r_has_property-1
odeur,d'une,rose,r_has_property-1
onctuosité,de,crème,r_has_property-1
opacité,d'un,mur,r_has_property-1
optimisme,d'un,cadre,r_has_property-1
originalité,d'un,style,r_has_property-1
orgueil,d'un,champion,r_has_property-1
pâleur,d'un,visage,r_has_property-1
paresse,d'un,chat,r_has_property-1
parfum,d'une,fleur,r_has_property-1
passion,d'un,artiste,r_has_property-1
pauvreté,d'un,sol,r_has_property-1
perfection,d'un,cercle,r_has_property-1
persévérance,d'un,but,r_has_property-1
perspicacité,d'un,détective,r_has_property-1
pesanteur,d'un,objet,r_has_property-1
petitesse,d'un,esprit,r_has_property-1
piété,d'un,fidèle,r_has_property-1
pitié,d'un,juge,r_has_property-1
plénitude,de,vie,r_has_property-1
politesse,d'un,enfant,r_has_property-1
ponctualité,d'un,train,r_has_property-1
popularité,d'un,acteur,r_has_property-1
précision,d'une,montre,r_has_property-1
propreté,d'une,cuisine,r_has_property-1
pudeur,d'une,femme,r_has_property-1
puissance,d'un,moteur,r_has_property-1
pureté,d'un,diamant,r_has_property-1
qualité,d',image,r_has_property-1
quantité,de,blé,r_has_property-1
radicalité,d'une,mesure,r_has_property-1
raison,d'état,,r_has_property-1
rareté,d'un,métal,r_has_property-1
rassurant,d'un,ton,r_has_property-1
robustesse,d'un,meuble,r_has_property-1
rondeur,d'une,joue,r_has_property-1
rudesse,du,climat,r_has_property-1
rustique,d'un,bois,r_has_property-1
sacré,d'un,lieu,r_has_property-1
sagacité,d'un,expert,r_has_property-1
saleté,d'une,rue,r_has_property-1
sauvagerie,d'un,loup,r_has_property-1
sensation,de,froid,r_has_property-1
sensibilité,d'une,peau,r_has_property-1
sérénité,d'un,sage,r_has_property-1
sérieux,d'un,élève,r_has_property-1
sévérité,d'un,père,r_has_property-1
silence,de,mort,r_has_property-1
simplicité,d'un,plat,r_has_property-1
sobriété,d'un,repas,r_has_property-1
solidité,d'un,pont,r_has_property-1
sombre,d'un,récit,r_has_property-1
sonorité,d'une,voix,r_has_property-1
souplesse,de,cuir,r_has_property-1
sournoiserie,du,serpent,r_has_property-1
stabilité,d'un,socle,r_has_property-1
stridence,d'un,cri,r_has_property-1
subtilité,d'un,goût,r_has_property-1
superficie,d'un,champ,r_has_property-1
supériorité,d'un,chef,r_has_property-1
sûreté,d'un,pas,r_has_property-1
symétrie,d'un,dessin,r_has_property-1
sympathie,d'un,voisin,r_has_property-1
talent,d'un,pianiste,r_has_property-1
témérité,d'un,jeune,r_has_property-1
ténacité,d'un,boxeur,r_has_property-1
tendresse,d'un,père,r_has_property-1
tension,d'un,fil,r_has_property-1
tiédeur,de,l'eau,r_has_property-1
timidité,d'un,gamin,r_has_property-1
tonicité,d'un,muscle,r_has_property-1
tranchant,d'une,lame,r_has_property-1
tranquillité,d',esprit,r_has_property-1
transparence,du,verre,r_has_property-1
vaillance,d'un,soldat,r_has_property-1
valeur,d'un,objet,r_has_property-1
vanité,d',homme,r_has_property-1
vitesse,d'un,train,r_has_property-1
volonté,de,fer,r_has_property-1
volupté,d'un,bain,r_has_property-1
vérité,d'un,récit,r_has_property-1
vulgarité,d'un,mot,r_has_property-1
zèle,d'un,employé,r_has_property-1
âpreté,du,combat,r_has_property-1
acidité,du,citron,r_has_property-1
agressivité,du,boxeur,r_has_property-1
aisance,d'un,orateur,r_has_property-1
altruisme,d'un,saint,r_has_property-1
ambition,d'un,cadre,r_has_property-1
amabilité,d'une,femme,r_has_property-1
angoisse,de,mort,r_has_property-1
animosité,d'un,rival,r_has_property-1
anxiété,d'un,patient,r_has_property-1
apathie,d'un,fainéant,r_has_property-1
ardeur,du,travailleur,r_has_property-1
arrogance,du,vainqueur,r_has_property-1
asphyxie,de,ville,r_has_property-1
assiduité,d'un,lecteur,r_has_property-1
assurance,d'un,chef,r_has_property-1
astuce,de,renard,r_has_property-1
atavisme,de,famille,r_has_property-1
atrocité,de,guerre,r_has_property-1
attrait,d'une,offre,r_has_property-1
autonomie,d'un,robot,r_has_property-1
avarice,d'un,vieil,r_has_property-1
aventure,de,vie,r_has_property-1
aveuglement,d'un,jaloux,r_has_property-1
bestialité,d'un,crime,r_has_property-1
bêtise,d'un,âne,r_has_property-1
bouffonnerie,d'un,clown,r_has_property-1
boulimie,de,lecture,r_has_property-1
bourgeoisie,de,ville,r_has_property-1
brusquerie,d'un,geste,r_has_property-1
brutalité,du,choc,r_has_property-1
cacophonie,de,voix,r_has_property-1
cadence,de,musique,r_has_property-1
calomnie,d'un,ennemi,r_has_property-1
candeur,d'une,vierge,r_has_property-1
caprice,d'une,star,r_has_property-1
captivité,d'un,oiseau,r_has_property-1
caractère,d',homme,r_has_property-1
carnage,de,bataille,r_has_property-1
célébrité,d'un,écrivain,r_has_property-1
célérité,d'un,envoi,r_has_property-1
certitude,d'un,succès,r_has_property-1
chagrin,d'un,ami,r_has_property-1
chaleur,de,foyer,r_has_property-1
chaos,de,ville,r_has_property-1
charité,d',âme,r_has_property-1
chasteté,de,moine,r_has_property-1
clémence,du,ciel,r_has_property-1
clonage,de,cellule,r_has_property-1
coloris,d'une,toile,r_has_property-1
convoitise,d'un,œil,r_has_property-1
coquetterie,d'une,femme,r_has_property-1
courage,du,pompier,r_has_property-1
crainte,de,dieu,r_has_property-1
crédulité,du,peuple,r_has_property-1
culte,de,beauté,r_has_property-1
curiosité,de,femme,r_has_property-1
déchéance,d'un,roi,r_has_property-1
décision,d'un,chef,r_has_property-1
déclin,de,jour,r_has_property-1
déconvenue,d'un,perdant,r_has_property-1
défaite,d'une,armée,r_has_property-1
défiance,d'un,rival,r_has_property-1
déformation,d',image,r_has_property-1
dégât,de,tempête,r_has_property-1
dégout,de,vie,r_has_property-1
démesure,d'un,projet,r_has_property-1
démonstration,de,force,r_has_property-1
départ,d'un,ami,r_has_property-1
dépendance,d'un,sujet,r_has_property-1
déprime,d'un,hiver,r_has_property-1
désarroi,d'un,père,r_has_property-1
désastre,de,guerre,r_has_property-1
désespoir,d'un,homme,r_has_property-1
désintérêt,d'un,public,r_has_property-1
désordre,de,chambre,r_has_property-1
despotisme,d'un,chef,r_has_property-1
destin,d'un,peuple,r_has_property-1
détresse,d'un,enfant,r_has_property-1
deuil,d'une,famille,r_has_property-1
dévotion,d'un,fidèle,r_has_property-1
dextérité,de,magicien,r_has_property-1
différence,de,prix,r_has_property-1
difficulté,d'un,exercice,r_has_property-1
dilatance,de,gaz,r_has_property-1
dilution,de,couleur,r_has_property-1
dimorphisme,de,sexe,r_has_property-1
discrétion,d'un,agent,r_has_property-1
disgrâce,d'un,ministre,r_has_property-1
disparition,d',espèce,r_has_property-1
disponibilité,d'un,bien,r_has_property-1
distinction,d'un,lord,r_has_property-1
diversité,de,faune,r_has_property-1
docilité,de,mouton,r_has_property-1
douleur,de,perte,r_has_property-1
dualité,d',esprit,r_has_property-1
dynamisme,d'une,ville,r_has_property-1
éclat,du,soleil,r_has_property-1
économie,de,moyen,r_has_property-1
effroi,de,foule,r_has_property-1
élan,de,cœur,r_has_property-1
élasticité,de,peau,r_has_property-1
élégance,d',esprit,r_has_property-1
embellie,du,temps,r_has_property-1
éminence,d'un,grade,r_has_property-1
emprise,du,mal,r_has_property-1
enchantement,d'un,soir,r_has_property-1
enfer,de,guerre,r_has_property-1
énormité,d'un,mensonge,r_has_property-1
enthousiasme,d'une,foule,r_has_property-1
entrée,d'un,bal,r_has_property-1
envie,de,manger,r_has_property-1
épouvante,de,nuit,r_has_property-1
équilibre,d'un,corps,r_has_property-1
errance,d'un,peuple,r_has_property-1
erreur,de,jugement,r_has_property-1
esclavage,de,corps,r_has_property-1
espoir,de,paix,r_has_property-1
esprit,de,fête,r_has_property-1
estime,de,soi,r_has_property-1
étalement,de,ville,r_has_property-1
éternité,de,temps,r_has_property-1
éthique,de,vie,r_has_property-1
étincelle,de,feu,r_has_property-1
étrangeté,de,rêve,r_has_property-1
étroit,d',esprit,r_has_property-1
euphorie,de,victoire,r_has_property-1
éveil,de,sens,r_has_property-1
excellence,de,fruit,r_has_property-1
excès,de,vitesse,r_has_property-1
excitation,de,foule,r_has_property-1
exil,d'un,peuple,r_has_property-1
exigence,de,loi,r_has_property-1
exotisme,d'un,voyage,r_has_property-1
expansion,d'une,bulle,r_has_property-1
expérience,de,vie,r_has_property-1
expertise,d'un,chef,r_has_property-1
explosion,de,colère,r_has_property-1
extinction,de,voix,r_has_property-1
extraversion,d'un,acteur,r_has_property-1
facétie,d'un,enfant,r_has_property-1
faiblesse,de,corps,r_has_property-1
faillite,d'une,banque,r_has_property-1
famine,de,peuple,r_has_property-1
fanatisme,de,groupe,r_has_property-1
fantaisie,d'un,artiste,r_has_property-1
fascination,de,vue,r_has_property-1
faste,d'un,palais,r_has_property-1
fatigue,de,voyage,r_has_property-1
faveur,d'un,prince,r_has_property-1
fécondité,du,sol,r_has_property-1
félicité,d',âme,r_has_property-1
félonie,d'un,traître,r_has_property-1
féminité,d'une,voix,r_has_property-1
ferveur,de,prière,r_has_property-1
festivité,de,noël,r_has_property-1
feu,de,passion,r_has_property-1
fièvre,de,nuit,r_has_property-1
fierté,de,nation,r_has_property-1
figure,de,style,r_has_property-1
finesse,de,trait,r_has_property-1
flamboyance,d',automne,r_has_property-1
flatulence,de,repas,r_has_property-1
flétrissure,de,peau,r_has_property-1
fluidité,de,mouvement,r_has_property-1
folie,de,grandeur,r_has_property-1
fondation,d'une,ville,r_has_property-1
force,de,poignet,r_has_property-1
format,de,page,r_has_property-1
forme,de,corps,r_has_property-1
fortune,d'un,roi,r_has_property-1
foudre,de,colère,r_has_property-1
fougue,de,jeunesse,r_has_property-1
fraîcheur,de,teint,r_has_property-1
franchise,de,ton,r_has_property-1
frayeur,de,nuit,r_has_property-1
frénésie,de,danse,r_has_property-1
frisson,de,peur,r_has_property-1
frivolité,de,propos,r_has_property-1
fureur,de,vent,r_has_property-1
futilité,d',objet,r_has_property-1
gaieté,de,cœur,r_has_property-1
galanterie,d'un,homme,r_has_property-1
génie,d'un,inventeur,r_has_property-1
géométrie,de,forme,r_has_property-1
gestalt,d',image,r_has_property-1
gigantisme,de,ville,r_has_property-1
gloire,d'un,héros,r_has_property-1
gloutonnerie,d'un,ogre,r_has_property-1
goût,de,pomme,r_has_property-1
grâce,d'une,danseuse,r_has_property-1
grande,de,taille,r_has_property-1
gratitude,d',élève,r_has_property-1
gravité,du,ton,r_has_property-1
grimace,d'un,singe,r_has_property-1
grossièreté,d'un,mot,r_has_property-1
guérison,d'un,malade,r_has_property-1
haine,de,l'autre,r_has_property-1
hardiesse,de,ton,r_has_property-1
harmonie,de,couleurs,r_has_property-1
hâte,de,partir,r_has_property-1
hauteur,de,montagne,r_has_property-1
héroïsme,de,soldat,r_has_property-1
hésitation,de,voix,r_has_property-1
hideur,d'un,monstre,r_has_property-1
hilarité,de,foule,r_has_property-1
honnêteté,de,mœurs,r_has_property-1
honneur,de,famille,r_has_property-1
honte,de,faute,r_has_property-1
hostilité,de,climat,r_has_property-1
humanité,d'un,geste,r_has_property-1
humeur,de,chef,r_has_property-1
humiliation,d'un,peuple,r_has_property-1
humilité,de,cœur,r_has_property-1
hygiène,de,vie,r_has_property-1
hystérie,de,foule,r_has_property-1
icône,de,mode,r_has_property-1
idole,de,jeune,r_has_property-1
ignominie,d'un,crime,r_has_property-1
ignorance,de,loi,r_has_property-1
illégalité,d'un,acte,r_has_property-1
illusion,d',optique,r_has_property-1
image,de,marque,r_has_property-1
imaginaire,d',enfant,r_has_property-1
imbécillité,d'un,propos,r_has_property-1
immensité,du,désert,r_has_property-1
immodestie,d'un,riche,r_has_property-1
immoralité,d',acte,r_has_property-1
immortalité,d',âme,r_has_property-1
immunité,de,corps,r_has_property-1
impact,de,balle,r_has_property-1
impartialité,du,juge,r_has_property-1
impatience,de,fille,r_has_property-1
impérialisme,d',état,r_has_property-1
imperméabilité,de,toit,r_has_property-1
impolitesse,d',enfant,r_has_property-1
impopularité,d',élu,r_has_property-1
importance,du,choix,r_has_property-1
imposture,d'un,homme,r_has_property-1
impuissance,d',état,r_has_property-1
impulsion,du,moment,r_has_property-1
impunité,de,crime,r_has_property-1
impureté,de,métal,r_has_property-1
inaccessibilité,de,lieu,r_has_property-1
inanité,de,projet,r_has_property-1
inaptitude,de,cadre,r_has_property-1
incapacité,de,lire,r_has_property-1
incertitude,de,demain,r_has_property-1
incohérence,de,plan,r_has_property-1
incompréhension,du,mot,r_has_property-1
incongruité,de,geste,r_has_property-1
inconscience,de,danger,r_has_property-1
inconstance,de,vent,r_has_property-1
incrédulité,du,témoin,r_has_property-1
indécence,de,tenue,r_has_property-1
indépendance,de,pays,r_has_property-1
indexation,de,prix,r_has_property-1
indifférence,de,foule,r_has_property-1
indigence,de,famille,r_has_property-1
indignation,du,peuple,r_has_property-1
indiscrétion,de,voisin,r_has_property-1
individualisme,d',homme,r_has_property-1
indocilité,d',enfant,r_has_property-1
indulgence,de,père,r_has_property-1
industrie,de,ville,r_has_property-1
inefficacité,d',acte,r_has_property-1
inertie,de,corps,r_has_property-1
infamie,de,crime,r_has_property-1
infection,de,plaie,r_has_property-1
infériorité,de,force,r_has_property-1
infidélité,d',époux,r_has_property-1
infinité,de,ciel,r_has_property-1
infirmité,de,corps,r_has_property-1
influence,d',artiste,r_has_property-1
ingéniosité,de,plan,r_has_property-1
ingratitude,de,fils,r_has_property-1
inhibition,d',esprit,r_has_property-1
inhumanité,de,traitement,r_has_property-1
iniquité,de,loi,r_has_property-1
injustice,de,sort,r_has_property-1
innocence,de,fille,r_has_property-1
innovation,de,produit,r_has_property-1
inquiétude,de,mère,r_has_property-1
insalubrité,de,logis,r_has_property-1
insatiabilité,d',ogre,r_has_property-1
insécurité,de,ville,r_has_property-1
insensibilité,de,cœur,r_has_property-1
insignifiance,de,détail,r_has_property-1
insincérité,de,ton,r_has_property-1
insipidité,de,plat,r_has_property-1
insolence,de,valet,r_has_property-1
insomnie,de,nuit,r_has_property-1
insouciance,de,riche,r_has_property-1
instabilité,de,climat,r_has_property-1
instinct,de,tueur,r_has_property-1
insuffisance,de,gain,r_has_property-1
insulte,de,bouche,r_has_property-1
intégrité,d',homme,r_has_property-1
intelligence,du,cœur,r_has_property-1
intensité,du,bleu,r_has_property-1
intention,de,nuire,r_has_property-1
interaction,de,groupe,r_has_property-1
interdiction,de,loi,r_has_property-1
intérêt,du,sujet,r_has_property-1
intolérance,de,foule,r_has_property-1
intoxication,de,corps,r_has_property-1
intrigue,de,palais,r_has_property-1
introduction,de,livre,r_has_property-1
intuition,de,femme,r_has_property-1
invention,de,génie,r_has_property-1
inverse,de,sens,r_has_property-1
invulnérabilité,d'un,héros,r_has_property-1
ironie,de,réponse,r_has_property-1
irréalisme,de,plan,r_has_property-1
irrégularité,de,pulsation,r_has_property-1
irrespect,d',enfant,r_has_property-1
irritabilité,de,nerf,r_has_property-1
ivresse,de,pouvoir,r_has_property-1
jalousie,de,métier,r_has_property-1
joie,de,vivre,r_has_property-1
jouissance,de,corps,r_has_property-1
jugement,de,goût,r_has_property-1
justesse,de,trait,r_has_property-1
justice,de,paix,r_has_property-1
lâcheté,de,soldat,r_has_property-1
laconisme,de,style,r_has_property-1
laideur,de,visage,r_has_property-1
langueur,d',été,r_has_property-1
largeur,de,route,r_has_property-1
lassitude,de,corps,r_has_property-1
latence,de,virus,r_has_property-1
latitude,de,choix,r_has_property-1
légèreté,d',âme,r_has_property-1
légitimité,de,pouvoir,r_has_property-1
lenteur,de,marche,r_has_property-1
léthargie,d',hiver,r_has_property-1
lettré,d',esprit,r_has_property-1
levée,de,soleil,r_has_property-1
liberté,de,presse,r_has_property-1
libertinage,d',esprit,r_has_property-1
licence,de,style,r_has_property-1
lidar,de,voiture,r_has_property-1
lien,de,sang,r_has_property-1
liesse,de,foule,r_has_property-1
limitant,d',espace,r_has_property-1
limpidité,de,source,r_has_property-1
linéarité,de,tracé,r_has_property-1
lisibilité,de,texte,r_has_property-1
littérature,de,genre,r_has_property-1
livreur,de,pizza,r_has_property-1
local,de,police,r_has_property-1
logique,de,calcul,r_has_property-1
loi,de,nature,r_has_property-1
longévité,de,vie,r_has_property-1
longueur,de,bras,r_has_property-1
loquacité,de,femme,r_has_property-1
louange,de,foule,r_has_property-1
loyauté,de,sujet,r_has_property-1
lucidité,de,vision,r_has_property-1
lueur,d',espoir,r_has_property-1
luminescence,de,lampe,r_has_property-1
luminosité,de,pièce,r_has_property-1
lustre,de,verre,r_has_property-1
lutte,de,classe,r_has_property-1
luxe,de,vie,r_has_property-1
luxure,de,corps,r_has_property-1
lyrisme,de,poète,r_has_property-1
mâle,de,voix,r_has_property-1
malheur,de,peuple,r_has_property-1
malice,de,regard,r_has_property-1
malignité,de,tumeur,r_has_property-1
malpropreté,de,cour,r_has_property-1
malveillance,d',acte,r_has_property-1
maman,de,famille,r_has_property-1
mandat,de,chef,r_has_property-1
maniaque,d',ordre,r_has_property-1
manie,de,rangement,r_has_property-1
manière,de,dire,r_has_property-1
manque,de,temps,r_has_property-1
manteau,de,neige,r_has_property-1
marche,de,nuit,r_has_property-1
marge,de,profit,r_has_property-1
marginalité,de,vie,r_has_property-1
marque,de,fabrique,r_has_property-1
marron,de,couleur,r_has_property-1
masque,de,peur,r_has_property-1
massacre,de,civil,r_has_property-1
matité,de,peau,r_has_property-1
maturité,d',esprit,r_has_property-1
mauvais,de,goût,r_has_property-1
maxime,de,vie,r_has_property-1
méchanceté,de,cœur,r_has_property-1
mépris,de,loi,r_has_property-1
mérite,de,soldat,r_has_property-1
merveille,de,monde,r_has_property-1
mesure,de,temps,r_has_property-1
métal,de,fer,r_has_property-1
méthode,de,travail,r_has_property-1
métier,de,prof,r_has_property-1
meurtre,de,sang,r_has_property-1
miaulement,de,chat,r_has_property-1
microbe,de,virus,r_has_property-1
mignon,de,visage,r_has_property-1
migration,d',oiseau,r_has_property-1
milieu,de,vie,r_has_property-1
militant,de,cause,r_has_property-1
minceur,de,corps,r_has_property-1
minuscule,de,taille,r_has_property-1
miracle,de,vie,r_has_property-1
miroir,de,âme,r_has_property-1
misanthropie,de,vieil,r_has_property-1
misère,de,peuple,r_has_property-1
mobile,de,crime,r_has_property-1
mobilité,de,bras,r_has_property-1
mode,de,vie,r_has_property-1
modèle,de,vertu,r_has_property-1
modération,de,ton,r_has_property-1
modernité,de,ville,r_has_property-1
modestie,de,vie,r_has_property-1
moiteur,de,main,r_has_property-1
mollesse,de,geste,r_has_property-1
moment,de,gloire,r_has_property-1
monarchie,de,pays,r_has_property-1
monde,de,rêve,r_has_property-1
monochromie,de,toile,r_has_property-1
monopole,de,marché,r_has_property-1
monotonie,de,vie,r_has_property-1
monstruosité,de,crime,r_has_property-1
montage,de,film,r_has_property-1
moralité,de,conte,r_has_property-1
morsure,de,froid,r_has_property-1
mort,de,faim,r_has_property-1
motif,de,dessin,r_has_property-1
mouvement,de,foule,r_has_property-1
muet,de,douleur,r_has_property-1
multitude,de,choix,r_has_property-1
murmure,de,vent,r_has_property-1
musique,de,film,r_has_property-1
mutation,de,gène,r_has_property-1
mystère,de,vie,r_has_property-1
mysticisme,de,moine,r_has_property-1
mythe,de,héros,r_has_property-1
naïveté,de,propos,r_has_property-1
naissance,de,jour,r_has_property-1
narcissisme,de,chef,r_has_property-1
nature,de,sol,r_has_property-1
naturel,de,geste,r_has_property-1
naufrage,de,navire,r_has_property-1
néant,de,mort,r_has_property-1
nébulosité,de,ciel,r_has_property-1
nécessité,de,choix,r_has_property-1
négligence,de,soin,r_has_property-1
nervosité,de,cheval,r_has_property-1
netteté, de,son,r_has_property-1
neutralité,de,pays,r_has_property-1
niaiserie,de,propos,r_has_property-1
noblesse,de,rang,r_has_property-1
nocturne,de,chant,r_has_property-1
noirceur,de,âme,r_has_property-1
nom,de,famille,r_has_property-1
nombre,de,gens,r_has_property-1
nonchalance,de,pas,r_has_property-1
norme,de,vie,r_has_property-1
nostalgie,de,pays,r_has_property-1
notoriété,d',acteur,r_has_property-1
nuance,de,gris,r_has_property-1
nuance,de,sens,r_has_property-1
nudité,de,corps,r_has_property-1
nuit,de,noce,r_has_property-1
nulle,de,valeur,r_has_property-1
obésité,de,corps,r_has_property-1
objectif,de,vie,r_has_property-1
objet,de,culte,r_has_property-1
obliquité,de,rayon,r_has_property-1
obscénité,de,geste,r_has_property-1
obscurantisme,de,siècle,r_has_property-1
obscurité,de,forêt,r_has_property-1
obséquiosité,de,valet,r_has_property-1
observance,de,loi,r_has_property-1
obsession,de,perte,r_has_property-1
obstacle,de,vie,r_has_property-1
obstination,de,mulet,r_has_property-1
occasion,de,vente,r_has_property-1
occident,de,monde,r_has_property-1
occultisme,de,secte,r_has_property-1
odeur,de,pain,r_has_property-1
odyssée,de,vie,r_has_property-1
offense,de,parole,r_has_property-1
offre,de,service,r_has_property-1
oisiveté,de,riche,r_has_property-1
onction,de,huile,r_has_property-1
onctuosité,de,sauce,r_has_property-1
ondulation,de,cheveu,r_has_property-1
opacité,de,vitre,r_has_property-1
opiniâtreté,de,lutte,r_has_property-1
opportunisme,de,chef,r_has_property-1
optimisme,de,volonté,r_has_property-1
opulence,de,palais,r_has_property-1
orage,de,été,r_has_property-1
ordre,de,bataille,r_has_property-1
oreille,de,lapin,r_has_property-1
orgueil,de,nation,r_has_property-1
originalité,de,fond,r_has_property-1
origine,de,vie,r_has_property-1
ornement,de,façade,r_has_property-1
orphelin,de,père,r_has_property-1
orthodoxie,de,penser,r_has_property-1
oscillation,de,pendule,r_has_property-1
ostentation,de,luxe,r_has_property-1
oubli,de,soi,r_has_property-1
outrage,de,temps,r_has_property-1
ouverture,d',esprit,r_has_property-1
pâleur,de,lune,r_has_property-1
palpitation,de,cœur,r_has_property-1
panache,de,guerrier,r_has_property-1
panique,de,foule,r_has_property-1
pantomime,de,clown,r_has_property-1
parade,de,soldat,r_has_property-1
paradoxe,de,vie,r_has_property-1
paralysie,de,bras,r_has_property-1
paranoïa,de,chef,r_has_property-1
parcours,de,vie,r_has_property-1
pardon,de,crime,r_has_property-1
paresse,de,corps,r_has_property-1
parfait,de,goût,r_has_property-1
parfum,de,femme,r_has_property-1
parité,de,sexe,r_has_property-1
parodie,de,chant,r_has_property-1
parole,de,sage,r_has_property-1
